Date,AAPL,TSLA,NVDA
,AAPL,TSLA,NVDA
2025-01-13,233.83592224121094,403.30999755859375,133.20849609375
2025-01-14,232.71861267089844,396.3599853515625,131.7387237548828
2025-01-15,237.2975616455078,428.2200012207031,136.218017578125
2025-01-16,227.710693359375,413.82000732421875,133.54844665527344
2025-01-17,229.4265594482422,426.5,137.68777465820312
2025-01-21,222.10421752929688,424.07000732421875,140.80726623535156
2025-01-22,223.29135131835938,415.1099853515625,147.04627990722656
2025-01-23,223.1217803955078,412.3800048828125,147.1962432861328
2025-01-24,222.24388122558594,406.5799865722656,142.5969696044922
2025-01-27,229.3068389892578,397.1499938964844,118.40087890625
2025-01-28,237.68663024902344,398.0899963378906,128.9691925048828
2025-01-29,238.78399658203125,389.1000061035156,123.6800308227539
2025-01-30,237.0182342529297,400.2799987792969,124.6298828125
2025-01-31,235.4320831298828,404.6000061035156,120.05062103271484
2025-02-03,227.4613037109375,383.67999267578125,116.64117431640625
2025-02-04,232.23977661132812,392.2099914550781,118.63085174560547
2025-02-05,231.9105682373047,378.1700134277344,124.80985260009766
2025-02-06,232.6587677001953,374.32000732421875,128.65921020507812
2025-02-07,227.08221435546875,361.6199951171875,129.81903076171875
2025-02-10,227.3518524169922,350.7300109863281,133.54844665527344
2025-02-11,232.3153533935547,328.5,132.77857971191406
2025-02-12,236.55978393554688,336.510009765625,131.11883544921875
2025-02-13,241.21368408203125,355.94000244140625,135.26815795898438
2025-02-14,244.2796630859375,355.8399963378906,138.8275909423828
2025-02-18,244.14984130859375,354.1099853515625,139.37750244140625
2025-02-19,244.54930114746094,360.55999755859375,139.20751953125
2025-02-20,245.508056640625,354.3999938964844,140.08738708496094
2025-02-21,245.22842407226562,337.79998779296875,134.40829467773438
2025-02-24,246.77639770507812,330.5299987792969,130.25897216796875
2025-02-25,246.71646118164062,302.79998779296875,126.60956573486328
2025-02-26,240.0452117919922,290.79998779296875,131.25881958007812
2025-02-27,236.98922729492188,281.95001220703125,120.130615234375
2025-02-28,241.5232696533203,292.9800109863281,124.89983367919922
2025-03-03,237.71826171875,284.6499938964844,114.04158782958984
2025-03-04,235.6210174560547,272.0400085449219,115.97127532958984
2025-03-05,235.4312744140625,279.1000061035156,117.28106689453125
2025-03-06,235.0218048095703,263.45001220703125,110.55215454101562
2025-03-07,238.7569122314453,262.6700134277344,112.67181396484375
2025-03-10,227.1820831298828,222.14999389648438,106.96273040771484
2025-03-11,220.55078125,230.5800018310547,108.74244689941406
2025-03-12,216.69583129882812,248.08999633789062,115.73196411132812
2025-03-13,209.4053955078125,240.67999267578125,115.57197570800781
2025-03-14,213.21041870117188,249.97999572753906,121.66155242919922
2025-03-17,213.71974182128906,238.00999450683594,119.52169799804688
2025-03-18,212.4114532470703,225.30999755859375,115.42198181152344
2025-03-19,214.95811462402344,235.86000061035156,117.51183319091797
2025-03-20,213.81961059570312,236.25999450683594,118.52176666259766
2025-03-21,217.98414611816406,248.7100067138672,117.69182586669922
2025-03-24,220.44091796875,278.3900146484375,121.40157318115234
2025-03-25,223.45697021484375,288.1400146484375,120.68162536621094
2025-03-26,221.2398681640625,272.05999755859375,113.75210571289062
2025-03-27,223.5568389892578,273.1300048828125,111.4222640991211
2025-03-28,217.6146240234375,263.54998779296875,109.66238403320312
2025-03-31,221.83909606933594,259.1600036621094,108.37247467041016
2025-04-01,222.897705078125,268.4599914550781,110.14234924316406
2025-04-02,223.59678649902344,282.760009765625,110.4123306274414
2025-04-03,202.9239044189453,267.2799987792969,101.79293060302734
2025-04-04,188.13330078125,239.42999267578125,94.30345153808594
2025-04-07,181.2223663330078,233.2899932861328,97.63321685791016
2025-04-08,172.19419860839844,221.86000061035156,96.29331970214844
2025-04-09,198.58958435058594,272.20001220703125,114.32205963134766
2025-04-10,190.17062377929688,252.39999389648438,107.56253051757812
2025-04-11,197.89048767089844,252.30999755859375,110.92229461669922
2025-04-14,202.25477600097656,252.35000610351562,110.70230865478516
2025-04-15,201.87527465820312,254.11000061035156,112.19220733642578
2025-04-16,194.0155792236328,241.5500030517578,104.48274230957031
2025-04-17,196.72203063964844,241.3699951171875,101.48294830322266
2025-04-21,192.9070281982422,227.5,96.90327453613281
2025-04-22,199.47842407226562,237.97000122070312,98.88313293457031
2025-04-23,204.33206176757812,250.74000549316406,102.70286560058594
2025-04-24,208.09710693359375,259.510009765625,106.422607421875
2025-04-25,209.00592041015625,284.95001220703125,111.0022964477539
2025-04-28,209.8647918701172,285.8800048828125,108.72245025634766
2025-04-29,210.9333953857422,292.0299987792969,109.0124282836914
2025-04-30,212.22171020507812,282.1600036621094,108.91243743896484
2025-05-01,213.04063415527344,280.5199890136719,111.60224914550781
2025-05-02,205.08106994628906,287.2099914550781,114.49205017089844
2025-05-05,198.62953186035156,280.260009765625,113.81209564208984
2025-05-06,198.25001525878906,275.3500061035156,113.53211975097656
2025-05-07,195.99298095703125,276.2200012207031,117.05187225341797
2025-05-08,197.2313690185547,284.82000732421875,117.36185455322266
2025-05-09,198.27000427246094,298.260009765625,116.64189910888672
2025-05-12,210.7899932861328,318.3800048828125,122.99146270751953
2025-05-13,212.92999267578125,334.07000732421875,129.9209747314453
2025-05-14,212.3300018310547,347.67999267578125,135.33059692382812
2025-05-15,211.4499969482422,342.82000732421875,134.8206329345703
2025-05-16,211.25999450683594,349.9800109863281,135.39059448242188
2025-05-19,208.77999877929688,342.0899963378906,135.5605926513672
2025-05-20,206.86000061035156,343.82000732421875,134.37066650390625
2025-05-21,202.08999633789062,334.6199951171875,131.7908477783203
