Date,AAPL,TSLA,NVDA
,AAPL,TSLA,NVDA
2025-06-11,198.77999877929688,326.42999267578125,142.8300018310547
2025-06-12,199.1999969482422,319.1099853515625,145.0
2025-06-13,196.4499969482422,325.30999755859375,141.97000122070312
2025-06-16,198.4199981689453,329.1300048828125,144.69000244140625
2025-06-17,195.63999938964844,316.3500061035156,144.1199951171875
2025-06-18,196.5800018310547,322.04998779296875,145.47999572753906
2025-06-20,201.0,322.1600036621094,143.85000610351562
2025-06-23,201.5,348.67999267578125,144.1699981689453
2025-06-24,200.3000030517578,340.4700012207031,147.89999389648438
2025-06-25,201.55999755859375,327.54998779296875,154.30999755859375
2025-06-26,201.0,325.7799987792969,155.02000427246094
2025-06-27,201.0800018310547,323.6300048828125,157.75
2025-06-30,205.1699981689453,317.6600036621094,157.99000549316406
2025-07-01,207.82000732421875,300.7099914550781,153.3000030517578
2025-07-02,212.44000244140625,315.6499938964844,157.25
2025-07-03,213.5500030517578,315.3500061035156,159.33999633789062
2025-07-07,209.9499969482422,293.94000244140625,158.24000549316406
2025-07-08,210.00999450683594,297.80999755859375,160.0
2025-07-09,211.13999938964844,295.8800048828125,162.8800048828125
